uniprot_accession,gene_name
Q6DD88,ATL3
Q6DKI7,PVRIG
Q6DKK2,TTC19
Q6DN03,H2BC20P
Q6DN90-2,IQSEC1
Q6F5E8,CARMIL2
Q6GMR7,FAAH2
Q6GTX8,LAIR1
Q6H8Q1,ABLIM2
Q6HA08,ASTL
Q6IA86,ELP2
Q6IAA8,LAMTOR1
Q6IBS0,TWF2
Q6IC98,GRAMD4
Q6ICL3,TANGO2
Q6IMI6,SULT1C3
Q6IPM2,IQCE
Q6J4K2,SLC8B1
Q6JQN1,ACAD10
Q6K0P9,PYHIN1
Q6L8G9,KRTAP5-6
Q6MZQ0,PRR5L
Q6N021,TET2
Q6N075,MFSD5
Q6NSI4,RADX
Q6NSJ0,MYORG
Q6NTF7,APOBEC3H
Q6NUN9,ZNF746
Q6NUP7,PPP4R4
Q6NXS1,PPP1R2B
Q6NXT6,TAPT1
Q6NZ36,FAAP20
Q6P0Q8,MAST2
Q6P158,DHX57
Q6P179,ERAP2
Q6P1J9,CDC73
Q6P1K2,PMF1
Q6P1L6,ZNF343
Q6P1N0,CC2D1A
Q6P2C8,MED27
Q6P2M8,PNCK
Q6P2Q9,PRPF8
Q6P531,GGT6
Q6P9B9,INTS5
Q6P9F7,LRRC8B
Q6PCB7,SLC27A1
Q6PCD5,RFWD3
Q6PCE3,PGM2L1
Q6PEY2,TUBA3E
Q6PF06,TRMT10B
Q6PF18,MORN3
Q6PH85,DCUN1D2
Q6PI26,SHQ1
Q6PI98,INO80C
Q6PIF6,MYO7B
Q6PIL6,KCNIP4
Q6PIW4,FIGNL1
Q6PIY7,TENT2
Q6PJP8,DCLRE1A
Q6PKC3,TXNDC11
Q6PKX4,DOK6
Q6QHC5,DEGS2
Q6QHK4,FIGLA
Q6R6M4,USP17L2
Q6RI45,BRWD3
Q6S9Z5,ZNF474
Q6SZW1,SARM1
Q6TCH4,PAQR6
Q6U841,SLC4A10
Q6UWB1,IL27RA
Q6UWB4,PRSS55
Q6UWP2,DHRS11
Q6UWV6,ENPP7
Q6UWY2,PRSS57
Q6UWZ7,ABRAXAS1
Q6UX39,AMTN
Q6UX46,ALKAL2
Q6UXF1,TMEM108
Q6UXG3,CD300LG
Q6UXG8,BTNL9
Q6UXH1,CRELD2
Q6UXL0,IL20RB
Q6UXZ0,TMIGD1
Q6UY14,ADAMTSL4
Q6UY14-3,ADAMTSL4
Q6VVB1,NHLRC1
Q6VVX0,CYP2R1
Q6WRI0,IGSF10
Q6XE24,RBMS3
Q6Y288,B3GLCT
Q6Y7W6,GIGYF2
Q6ZMI0-5,PPP1R21
Q6ZMT1,STAC2
Q6ZN04,MEX3B
Q6ZN17,LIN28B
Q6ZNA4,RNF111
Q6ZNE5,ATG14
Q6ZNG0,ZNF620
Q6ZNX1,SHLD3
Q6ZRY4,RBPMS2
Q6ZSZ5,ARHGEF18
Q6ZT12,UBR3
Q6ZT89,SLC25A48
Q6ZUT3,FRMD7
Q6ZV29,PNPLA7
Q6ZVD8,PHLPP2
Q6ZVN8,HJV
Q6ZW31,SYDE1
Q6ZW49,PAXIP1
Q6ZW76,ANKS3
Q6ZWH5,NEK10
Q6ZYL4,GTF2H5
Q702N8,XIRP1
Q70CQ1,USP49
Q70CQ4,USP31
Q70EL1-9,USP54
Q70J99,UNC13D
Q71H61,ILDR2
Q71UM5,RPS27L
Q75QN2,INTS8
Q7KYR7,BTN2A1
Q7KZF4,SND1
Q7KZN9,COX15
Q7L1I2,SV2B
Q7L2Z9,CENPQ
Q7L4P6,BEND5
Q7L523,RRAGA
Q7L576,CYFIP1
Q7L591,DOK3
Q7L5A8,FA2H
Q7L622,G2E3
Q7L7X3,TAOK1
Q7L804,RAB11FIP2
Q7L8A9,VASH1
Q7L9L4,MOB1B
Q7RTT9,SLC29A4
Q7RTU7,SCX
Q7RTX7,CATSPER4
Q7RTY1,SLC16A9
Q7Z2E3,APTX
Q7Z2K6,ERMP1
Q7Z2W4,ZC3HAV1
Q7Z3K3,POGZ
Q7Z3T8,ZFYVE16
Q7Z3Y7,KRT28
Q7Z3Z0,KRT25
Q7Z412,PEX26
Q7Z442,PKD1L2
Q7Z449,CYP2U1
Q7Z4H4,ADM2
Q7Z4H7,HAUS6
Q7Z4I7,LIMS2
Q7Z4P5,GDF7
Q7Z4S6,KIF21A
Q7Z4V5,HDGFL2
Q7Z569,BRAP
Q7Z5A7,TAFA5
Q7Z5L9,IRF2BP2
Q7Z699,SPRED1
Q7Z6B0,CCDC91
Q7Z6I5,SPATA12
Q7Z6J6,FRMD5
Q7Z6J8,UBE3D
Q7Z6L1,TECPR1
Q7Z6M1,RABEPK
Q7Z6R9,TFAP2D
Q7Z6V5,ADAT2
Q7Z6Z7,HUWE1
Q7Z739,YTHDF3
Q7Z7C7,STRA8
Q7Z7E8,UBE2Q1
Q7Z7L1,SLFN11
Q7Z7M9,GALNT5
Q86SE5,RALYL
Q86SQ4,ADGRG6
Q86SQ7,SDCCAG8
Q86SU0,ILDR1
Q86T03,PIP4P1
Q86T13,CLEC14A
Q86T65,DAAM2
Q86T90,KIAA1328
Q86TG1,TMEM150A
Q86U28,ISCA2
Q86U42,PABPN1
Q86UF1,TSPAN33
Q86UG4,SLCO6A1
Q86UK0,ABCA12
Q86UL8,MAGI2
Q86UN6,AKAP14
Q86UP3,ZFHX4
Q86UQ4,ABCA13
Q86US8,SMG6
Q86UT5,NHERF4
Q86UW2,SLC51B
Q86UW6,N4BP2
Q86UX7,FERMT3
Q86UY5,FAM83A
Q86V40,TRABD2A
Q86V86,PIM3
Q86VB7,CD163
Q86VF7,NRAP
Q86VK4-3,ZNF410
Q86VZ6,JAZF1
Q86W42,THOC6
Q86W56,PARG
Q86WI1,PKHD1L1
Q86WR0,CCDC25
Q86X02,CDR2L
Q86X55,CARM1
Q86X95,CIR1
Q86XP3,DDX42
Q86XR7,TICAM2
Q86XR8,CEP57
Q86Y13,DZIP3
Q86Y26,NUTM1
Q86Y78,LYPD6
Q86Y97,KMT5C
Q86YD1,PTOV1
Q86YD5,LDLRAD3
Q86YF9,DZIP1
Q86YJ6,THNSL2
Q86YJ7,ANKRD13B
Q86YM7,HOMER1
Q86YR7,MCF2L2
Q86YT9,JAML
Q86YV9,HPS6
Q8IU54,IFNL1
Q8IU57,IFNLR1
Q8IU80,TMPRSS6
Q8IU99,CALHM1
Q8IUB9,KRTAP19-1
Q8IUE6,H2AC21
Q8IUX8,EGFL6
Q8IVD9,NUDCD3
Q8IVF4,DNAH10
Q8IVG9,MT-RNR2
Q8IVJ1,SLC41A1
Q8IVL0,NAV3
Q8IVV7,GID4
Q8IW35,CEP97
Q8IW52,SLITRK4
Q8IW75,SERPINA12
Q8IWB1,ITPRIP
Q8IWE2,FAM114A1
Q8IWE4,DCUN1D3
Q8IWL2,SFTPA1
Q8IWL3,HSCB
Q8IWT0,ZBTB8OS
Q8IWT6,LRRC8A
Q8IWU5,SULF2
Q8IWZ6,BBS7
Q8IWZ8,SUGP1
Q8IX12,CCAR1
Q8IXQ6,PARP9
Q8IXS2,CCDC65
Q8IXV7,KLHDC8B
Q8IXW0,LMNTD2
Q8IY34,SLC15A3
Q8IY84,NIM1K
Q8IYA8,IHO1
Q8IYG6,LRRC56
Q8IYM9,TRIM22
Q8IYP9,ZDHHC23
Q8IYT2,CMTR2
Q8IYT3,CCDC170
Q8IYU2,HACE1
Q8IYX7,SAXO1
Q8IZ69,TRMT2A
Q8IZA0,KIAA0319L
Q8IZE3,SCYL3
Q8IZF0,NALCN
Q8IZF2,ADGRF5
Q8IZK6,MCOLN2
Q8IZQ8,MYOCD
Q8IZT6,ASPM
Q8IZY2,ABCA7
Q8N0S2,SYCE1
Q8N0V5,GCNT2
Q8N119,MMP21
Q8N122,RPTOR
Q8N145,LGI3
Q8N157,AHI1
Q8N1B3,CCNQ
Q8N1W1,ARHGEF28
Q8N205,SYNE4
Q8N264,ARHGAP24
Q8N2I9,STK40
Q8N370,SLC43A2
Q8N392,ARHGAP18
Q8N3J6,CADM2
Q8N3P4,VPS8
Q8N3R9,PALS1
Q8N3U4,STAG2
Q8N3Y3,LARGE2
Q8N428,GALNT16
Q8N443,RIBC1
Q8N465,D2HGDH
Q8N4C6,NIN
Q8N4F0,BPIFB2
Q8N4L1,TMEM151A
Q8N4L8,CCDC24
Q8N4N8,KIF2B
Q8N4P3,HDDC3
Q8N4T0,CPA6
Q8N4V1,MMGT1
Q8N565,MREG
Q8N5B7,CERS5
Q8N5D0,WDTC1
Q8N5I2,ARRDC1
Q8N5J2,MINDY1
Q8N5M1,ATPAF2
Q8N635,MEIOB
Q8N682,DRAM1
Q8N684-3,CPSF7
Q8N693,ESX1
Q8N6C8,LILRA3
Q8N6F1,CLDN19
Q8N6I4,LYSET
Q8N6L1,KRTCAP2
Q8N720,ZNF655
Q8N7W2-2,BEND7
Q8N841,TTLL6
Q8N8Q3,ENDOV
Q8N912,NRAC
Q8N966,ZDHHC22
Q8N987,NECAB1
Q8N9A8,CNEP1R1
Q8N9F7,GDPD1
Q8N9L9,ACOT4
Q8N9Q2,SREK1IP1
Q8N9V6,ANKRD53
Q8NA31,TERB1
Q8NA54,IQUB
Q8NAM6,ZSCAN4
Q8NAV1,PRPF38A
Q8NB12,SMYD1
Q8NBJ9,SIDT2
Q8NBL1,POGLUT1
Q8NBN7,RDH13
Q8NBQ5,HSD17B11
Q8NBS3,SLC4A11
Q8NBS9,TXNDC5
Q8NBT2,SPC24
Q8NBW4,SLC38A9
Q8NC01,CLEC1A
Q8NC42,RNF149
Q8NC60,NOA1
Q8NCA5,FAM98A
Q8NCG5,CHST4
Q8NCH0,CHST14
Q8NCL4,GALNT6
Q8NCW5,NAXE
Q8ND76,CCNY
Q8NDF8,TENT4B
Q8NDI1,EHBP1
Q8NDQ6,ZNF540
Q8NDW8,TTC21A
Q8NE01,CNNM3
Q8NE35,CPEB3
Q8NE63,HIPK4
Q8NE86,MCU
Q8NEC5,CATSPER1
Q8NEN9,PDZD8
Q8NEP3,DNAAF1
Q8NES3,LFNG
Q8NEV1,CSNK2A3
Q8NEV8,EXPH5
Q8NEZ2,VPS37A
Q8NF91,SYNE1
Q8NFA0,USP32
Q8NFB2,TMEM185A
Q8NFC6,BOD1L1
Q8NFG4,FLCN
Q8NFH4,NUP37
Q8NFH5,NUP35
Q8NFT2,STEAP2
Q8NFU1,BEST2
Q8NFU7,TET1
Q8NFZ0,FBH1
Q8NG08,HELB
Q8NHG7,SVIP
Q8NHJ6,LILRB4
Q8NHQ1,CEP70
Q8NHU6,TDRD7
Q8NHV1,GIMAP7
Q8NHX9,TPCN2
Q8NHY3,GAS2L2
Q8NI17,IL31RA
Q8NI51,CTCFL
Q8NI77,KIF18A
Q8TAE7,KCNG3
Q8TAF3,WDR48
Q8TAM2,TTC8
Q8TAP9,MPLKIP
Q8TAS1,UHMK1
Q8TAV3,CYP2W1
Q8TAX0,OSR1
Q8TB24,RIN3
Q8TB36,GDAP1
Q8TB37,NUBPL
Q8TBA6,GOLGA5
Q8TBE1,CNIH3
Q8TBE9,NANP
Q8TBG4,ETNPPL
Q8TBJ4,PLPPR1
Q8TBM8,DNAJB14
Q8TBY0,RBM46
Q8TBZ8,ZNF564
Q8TC20,CAGE1
Q8TC71,SPATA18
Q8TC94,ACTL9
Q8TCG2,PI4K2B
Q8TCJ2,STT3B
Q8TCT0,CERK
Q8TCT7,SPPL2B
Q8TCU5,GRIN3A
Q8TCV5,WFDC5
Q8TD16,BICD2
Q8TD16-2,BICD2
Q8TD30,GPT2
Q8TD31,CCHCR1
Q8TD57,DNAH3
Q8TDC3,BRSK1
Q8TDG2,ACTRT1
Q8TDI7,TMC2
Q8TDL5,BPIFB1
Q8TDQ0,HAVCR2
Q8TDR2,STK35
Q8TDV0,GPR151
Q8TDW0,LRRC8C
Q8TDW5,SYTL5
Q8TDX6,CSGALNACT1
Q8TE04,PANK1
Q8TE23,TAS1R2
Q8TE58,ADAMTS15
Q8TE68,EPS8L1
Q8TE85,GRHL3
Q8TEA8,DTD1
Q8TEB1,DCAF11
Q8TED0,UTP15
Q8TEH3,DENND1A
Q8TEK3,DOT1L
Q8TEL6,TRPC4AP
Q8TER0,SNED1
Q8TEU8,WFIKKN2
Q8TEV9,SMCR8
Q8TEW6,DOK4
Q8TEZ7,PAQR8
Q8TF40,FNIP1
Q8TF42,UBASH3B
Q8WTP8,AEN
Q8WTQ7,GRK7
Q8WTX9,ZDHHC1
Q8WU17,RNF139
Q8WU20,FRS2
Q8WU39,MZB1
Q8WUD6,CHPT1
Q8WUG5,SLC22A17
Q8WUM0,NUP133
Q8WUU5,GATAD1
Q8WUX9,CHMP7
Q8WV28,BLNK
Q8WV99,ZFAND2B
Q8WVE7,TMEM170A
Q8WVJ9,TWIST2
Q8WVP5,TNFAIP8L1
Q8WVR3,TRAPPC14
Q8WVZ1,ZDHHC19
Q8WVZ9,KBTBD7
Q8WW34-2,TMEM239
Q8WW35,DYNLT2B
Q8WW43,APH1B
Q8WWB5,PIH1D2
Q8WWH5,TRUB1
Q8WWP7,GIMAP1
Q8WWQ2,HPSE2
Q8WWR8,NEU4
Q8WWU5,TCP11
Q8WWV3,RTN4IP1
Q8WWY3,PRPF31
Q8WX92,NELFB
Q8WX93,PALLD
Q8WXC3,PYDC1
Q8WXE1,ATRIP
Q8WXF3,RLN3
Q8WXG8,S100Z
Q8WXH2,JPH3
Q8WXK4,ASB12
Q8WXS5,CACNG8
Q8WXX5,DNAJC9
Q8WY21,SORCS1
Q8WY91,THAP4
Q8WYH8,ING5
Q8WYQ5,DGCR8
Q8WZ19,KCTD13
Q8WZ42,TTN
Q8WZ55,BSND
Q8WZ59,TMEM190
Q92502,STARD8
Q92506,HSD17B8
Q92508,PIEZO1
Q92522,H1-10
Q92529,SHC3
Q92538,GBF1
Q92542,NCSTN
Q92543,SNX19
Q92544,TM9SF4
Q92558,WASF1
Q92560,BAP1
Q92562,FIG4
Q92565,RAPGEF5
Q92567,FAM168A
Q92575,UBXN4
Q92581,SLC9A6
Q92604,LPGAT1
Q92615,LARP4B
Q92620,DHX38
Q92667,AKAP1
Q92681,RSC1A1
Q92743,HTRA1
Q92753,RORB
Q92759,GTF2H4
Q92769,HDAC2
Q92772,CDKL2
Q92793,CREBBP
Q92797,SYMPK
Q92800,EZH1
Q92804,TAF15
Q92832,NELL1
Q92841,DDX17
Q92847,GHSR
Q92851,CASP10
Q92882,OSTF1
Q92901,RPL3L
Q92903,CDS1
Q92904,DAZL
Q92922,SMARCC1
Q92930,RAB8B
Q92993,KAT5
Q93033,CD101
Q93062,RBPMS
Q93074,MED12
Q93086,P2RX5
Q93091,RNASE6
Q93096,PTP4A1
Q93098,WNT8B
Q93099,HGD
Q969F8,KISS1R
Q969G6,RFK
Q969H6,POP5
Q969J2,ZKSCAN4
Q969K3,RNF34
Q969K7,TMEM54
Q969M3,YIPF5
Q969P6,TOP1MT
Q969S2,NEIL2
Q969S3,ZNF622
Q969S9,GFM2
Q969T4,UBE2E3
Q969X1,TMBIM1
Q96A29,SLC35C1
Q96A72,MAGOHB
Q96AA3,RFT1
Q96AB6,NTAN1
Q96AC1,FERMT2
Q96AG3,SLC25A46
Q96AH8,RAB7B
Q96AK3,APOBEC3D
Q96AN5,TMEM143
Q96AQ6,PBXIP1
Q96AZ1,EEF1AKMT3
Q96B42,TMEM18
Q96BH1,RNF25
Q96BI3,APH1A
Q96BP3,PPWD1
Q96BZ4,PLD4
Q96C74,ROPN1L
Q96C86,DCPS
Q96CG3,TIFA
Q96CM8,ACSF2
Q96CN9,GCC1
Q96CT7,CCDC124
Q96CW5,TUBGCP3
Q96D05,FAM241B
Q96D21,RASD2
Q96D46,NMD3
Q96D53,COQ8B
Q96D71,REPS1
Q96DN2,VWCE
Q96DR7,ARHGEF26
Q96DW6,SLC25A38
Q96DZ7,TM4SF19
Q96DZ9,CMTM5
Q96E22,NUS1
Q96EF0,MTMR8
Q96EG1,ARSG
Q96EQ0,SGTB
Q96EV8,DTNBP1
Q96F07,CYFIP2
Q96F24,NRBF2
Q96F25,ALG14
Q96F81,DISP1
Q96FE5,LINGO1
Q96FN4,CPNE2
Q96FS4,SIPA1
Q96FT7,ASIC4
Q96G03,PGM2
Q96G25,MED8
Q96G30,MRAP2
Q96G61,NUDT11
Q96G74,OTUD5
Q96G91,P2RY11
Q96GD0,PDXP
Q96GR2,ACSBG1
Q96GW7,BCAN
Q96H72,SLC39A13
Q96H86,ZNF764
Q96HA9,PEX11G
Q96HF1,SFRP2
Q96HR9-2,REEP6
Q96HY7,DHTKD1
Q96IR7,HPDL
Q96IT1,ZNF496
Q96IY1,NSL1
Q96J01,THOC3
Q96JA3,PLEKHA8
Q96JG8,MAGED4
Q96JG8,MAGED4B
Q96JH7,VCPIP1
Q96JN0,LCOR
Q96JW4,SLC41A2
Q96K30,RITA1
Q96KK3,KCNS1
Q96KQ7,EHMT2
Q96KR7,PHACTR3
Q96L12,CALR3
Q96LB2,MRGPRX1
Q96LB8,PGLYRP4
Q96LC7,SIGLEC10
Q96LL9,DNAJC30
Q96LX8,ZNF597
Q96M94,KLHL15
Q96M96,FGD4
Q96MF2,STAC3
Q96MG2,JSRP1
Q96MG7,NSMCE3
Q96MM7,HS6ST2
Q96MN2,NLRP4
Q96MN9,ZNF488
Q96MU8,KREMEN1
Q96MV1,TLCD4
Q96N95,ZNF396
Q96NL8,CFAP418
Q96NY9,MUS81
Q96P15,SERPINB11
Q96P48,ARAP1
Q96P66,GPR101
Q96P71,NECAB3
Q96PD4,IL17F
Q96PJ5,FCRL4
Q96PM9,ZNF385A
Q96PN8,TSSK3
Q96PU8,QKI
Q96PV7,FAM193B
Q96PX1,RNF157
Q96PX8,SLITRK1
Q96PY6,NEK1
Q96PZ0,PUS7
Q96Q05,TRAPPC9
Q96Q11,TRNT1
Q96Q91,SLC4A9
Q96QH2,PRAM1
Q96QR8,PURB
Q96QT4,TRPM7
Q96QT6,PHF12
Q96RE7,NACC1
Q96RG2,PASK
Q96RI0,F2RL3
Q96RI1,NR1H4
Q96RJ6,FERD3L
Q96RK0,CIC
Q96RP9,GFM1
Q96RR1,TWNK
Q96RR4,CAMKK2
Q96RU2,USP28
Q96RY7,IFT140
Q96S52,PIGS
Q96S53,TESK2
Q96S55,WRNIP1
Q96S82,UBL7
Q96S99,PLEKHF1
Q96SF7,TBX15
Q96SI9,STRBP
Q96ST2,IWS1
Q96SU4,OSBPL9
Q96SZ4,ZSCAN10
Q96T51,RUFY1
Q96T52,IMMP2L
Q96T76,MMS19
Q96TC7,RMDN3
Q99062,CSF3R
Q99217,AMELX
Q99471,PFDN5
Q99487,PAFAH2
Q99497,PARK7
Q99547,MPHOSPH6
Q99549,MPHOSPH8
Q99569,PKP4
Q99594,TEAD3
Q99608,NDN
Q99623,PHB2
Q99640,PKMYT1
Q99643,SDHC
Q99687-3,MEIS3
Q99698,LYST
Q99712,KCNJ15
Q99717,SMAD5
Q99719,SEPTIN5
Q99726,SLC30A3
Q99732,LITAF
Q99747,NAPG
Q99757,TXN2
Q99814,EPAS1
Q99829,CPNE1
Q99848,EBNA1BP2
Q99873,PRMT1
Q99946,PRRT1
Q99952,PTPN18
Q99961,SH3GL1
Q99972,MYOC
Q99990,VGLL1
Q9BPX1,HSD17B14
Q9BPZ3,PAIP2
Q9BQ16,SPOCK3
Q9BQ39,DDX50
Q9BQ67,GRWD1
Q9BQA1,WDR77
Q9BQA5,HINFP
Q9BQA9,CYBC1
Q9BQE4,SELENOS
Q9BQG2,NUDT12
Q9BQI3,EIF2AK1
Q9BQQ3,GORASP1
Q9BQS8,FYCO1
Q9BQT8,SLC25A21
Q9BRF8,CPPED1
Q9BRG1,VPS25
Q9BRI3,SLC30A2
Q9BRJ7,NUDT16L1
Q9BRQ0,PYGO2
Q9BRQ6,CHCHD6
Q9BRR9,ARHGAP9
Q9BRS2,RIOK1
Q9BRS8,LARP6
Q9BRX5,GINS3
Q9BSE4,HERPUD2
Q9BSY9,DESI2
Q9BT09,CNPY3
Q9BT49,THAP7
Q9BT78,COPS4
Q9BT81,SOX7
Q9BTC0,DIDO1
Q9BTM9,URM1
Q9BTN0,LRFN3
Q9BTU6,PI4K2A
Q9BTW9,TBCD
Q9BTX3,TMEM208
Q9BTY2,FUCA2
Q9BU19,ZNF692
Q9BUA3,SPINDOC
Q9BUB5,MKNK1
Q9BUJ2,HNRNPUL1
Q9BUK6,MSTO1
Q9BUL5,PHF23
Q9BUN8,DERL1
Q9BUT1,BDH2
Q9BUU2,METTL22
Q9BV20,MRI1
Q9BV29,CCDC32
Q9BV38,WDR18
Q9BVC3,DSCC1
Q9BVG9,PTDSS2
Q9BVK2,ALG8
Q9BVL4,SELENOO
Q9BVS5,TRMT61B
Q9BVT8,TMUB1
Q9BVV7,TIMM21
Q9BW11,MXD3
Q9BW61,DDA1
Q9BW91,NUDT9
Q9BWC9,CCDC106
Q9BWD1,ACAT2
Q9BWL3,C1orf43
Q9BWQ8,FAIM2
Q9BX63,BRIP1
Q9BX68,HINT2
Q9BX97,PLVAP
Q9BXJ8,TMEM120A
Q9BXM0,PRX
Q9BXM7,PINK1
Q9BXP5,SRRT
Q9BXS1,IDI2
Q9BXS4,TMEM59
Q9BXS5,AP1M1
Q9BXT6,MOV10L1
Q9BXT8,RNF17
Q9BY14,TEX101
Q9BY27,DGCR6L
Q9BY32,ITPA
Q9BY44,EIF2A
Q9BY79,MFRP
Q9BY84,DUSP16
Q9BYE3,LCE3D
Q9BYG3,NIFK
Q9BYH1,SEZ6L
Q9BYM8,RBCK1
Q9BYQ3,KRTAP9-3
Q9BYQ4,KRTAP9-2
Q9BYR2,KRTAP4-5
Q9BYV6,TRIM55
Q9BYV9,BACH2
Q9BYW3,DEFB126
Q9BZ11,ADAM33
Q9BZD6,PRRG4
Q9BZF3,OSBPL6
Q9BZG1,RAB34
Q9BZH6,WDR11
Q9BZL1,UBL5
Q9BZM5,ULBP2
Q9BZQ4,NMNAT2
Q9BZQ8,NIBAN1
Q9BZR9,TRIM8
Q9BZS1,FOXP3
Q9BZW2,SLC13A1
Q9BZW7,TSGA10
Q9C000,NLRP1
Q9C040,TRIM2
Q9C098,DCLK3
Q9C0A0,CNTNAP4
Q9C0B2,CFAP74
Q9C0B5,ZDHHC5
Q9C0D0,PHACTR1
Q9C0E4,GRIP2
Q9C0E8,LNPK
Q9C0F0,ASXL3
Q9C0K1,SLC39A8
Q9GZN7,ROGDI
Q9GZR1,SENP6
Q9GZT9,EGLN1
Q9GZU5,NYX
Q9GZV1,ANKRD2
Q9GZV5,WWTR1
Q9GZV7,HAPLN2
Q9H000,MKRN2
Q9H0A6,RNF32
Q9H0A9,SPATC1L
Q9H0C1,ZMYND12
Q9H0C5,BTBD1
Q9H0F6,SHARPIN
Q9H0R1,AP5M1
Q9H0U6,MRPL18
Q9H0V9,LMAN2L
Q9H112,CST11
Q9H115,NAPB
Q9H160,ING2
Q9H161,ALX4
Q9H165,BCL11A
Q9H173,SIL1
Q9H1K1,ISCU
Q9H1N7,SLC35B3
Q9H223,EHD4
Q9H227,GBA3
Q9H228,S1PR5
Q9H2C2,ARV1
Q9H2F3,HSD3B7
Q9H2F9,CCDC68
Q9H2G4,TSPYL2
Q9H2G9,BLZF1
Q9H2H8,PPIL3
Q9H2J4,PDCL3
Q9H2M3,BHMT2
Q9H2S1,KCNN2
Q9H2S5,RNF39
Q9H2S9,IKZF4
Q9H2U1,DHX36
Q9H2W1,MS4A6A
Q9H329,EPB41L4B
Q9H361,PABPC3
Q9H3F6,KCTD10
Q9H3H1,TRIT1
Q9H3J6,MTRFR
Q9H3N1,TMX1
Q9H3P2,NELFA
Q9H3P7,ACBD3
Q9H3Q3,GAL3ST2
Q9H3R0,KDM4C
Q9H3S3,TMPRSS5
Q9H3T3,SEMA6B
Q9H3Z4,DNAJC5
Q9H444,CHMP4B
Q9H461,FZD8
Q9H469,FBXL15
Q9H490,PIGU
Q9H492,MAP1LC3A
Q9H4D0,CLSTN2
Q9H4G0,EPB41L1
Q9H4K7,MTG2
Q9H4L4,SENP3
Q9H4L7,SMARCAD1
Q9H4W6,EBF3
Q9H553,ALG2
Q9H5P4,PDZD7
Q9H5Z6-2,FAM124B
Q9H6J7,CSTPP1
Q9H6L2,TMEM231
Q9H6R0,DHX33
Q9H6T0,ESRP2
Q9H6U8,ALG9
Q9H6Y7,RNF167
Q9H707,ZNF552
Q9H772,GREM2
Q9H773,DCTPP1
Q9H790,EXO5
Q9H7B2,RPF2
Q9H7E9,C8orf33
Q9H7H0,METTL17
Q9H7T9,AUNIP
Q9H845,ACAD9
Q9H8H2,DDX31
Q9H8M2,BRD9
Q9H8P0,SRD5A3
Q9H8Y5,ANKZF1
Q9H903,MTHFD2L
Q9H944,MED20
Q9H974,QTRT2
Q9H981,ACTR8
Q9H9A7,RMI1
Q9H9C1,VIPAS39
Q9H9E3,COG4
Q9H9J2,MRPL44
Q9H9K5,ERVMER34-1
Q9H9P8,L2HGDH
Q9H9Q4,NHEJ1
Q9H9S5,FKRP
Q9HA47,UCK1
Q9HAD4,WDR41
Q9HAP6,LIN7B
Q9HAV5,EDA2R
Q9HAW7,UGT1A7
Q9HAZ1,CLK4
Q9HB20,PLEKHA3
Q9HB21,PLEKHA1
Q9HBL8,NMRAL1
Q9HBM6,TAF9B
Q9HBX8,LGR6
Q9HBX9,RXFP1
Q9HC10,OTOF
Q9HC21,SLC25A19
Q9HC23,PROK2
Q9HCE0,EPG5
Q9HCE1,MOV10
Q9HCE5,METTL14
Q9HCE6,ARHGEF10L
Q9HCE9,ANO8
Q9HCF6,TRPM3
Q9HCG7,GBA2
Q9HCH0,NCKAP5L
Q9HCL2,GPAM
Q9HCM1,RESF1
Q9HCM3,KIAA1549
Q9HCM4,EPB41L5
Q9HCS2,CYP4F12
Q9HCS4,TCF7L1
Q9HCS7,XAB2
Q9HCU0,CD248
Q9HCU9,BRMS1
Q9HCX3,ZNF304
Q9HD90,NEUROD4
Q9HDC9,APMAP
Q9NNX6,CD209
Q9NP59,SLC40A1
Q9NP62,GCM1
Q9NP84,TNFRSF12A
Q9NP90,RAB9B
Q9NP95,FGF20
Q9NP99,TREM1
Q9NPA8,ENY2
Q9NPB1,NT5M
Q9NPC2,KCNK9
Q9NPC7,MYNN
Q9NPD5,SLCO1B3
Q9NPD8,UBE2T
Q9NPF0,CD320
Q9NPF5,DMAP1
Q9NPG1,FZD3
Q9NPH3,IL1RAP
Q9NPI5,NMRK2
Q9NPI8,FANCF
Q9NPP4,NLRC4
Q9NQ29,LUC7L
Q9NQ31,AKIP1
Q9NQ90,ANO2
Q9NQC3,RTN4
Q9NQE9,HINT3
Q9NQG5,RPRD1B
Q9NQH7,XPNPEP3
Q9NQS7,INCENP
Q9NQT4,EXOSC5
Q9NQT5,EXOSC3
Q9NQV5,PRDM11
Q9NQV6,PRDM10
Q9NQX4,MYO5C
Q9NQZ7,ENTPD7
Q9NQZ8,ZNF71
Q9NR11,ZNF302
Q9NR16,CD163L1
Q9NR33,POLE4
Q9NR45,NANS
Q9NR46,SH3GLB2
Q9NR50,EIF2B3
Q9NR81,ARHGEF3
Q9NRB3,CHST12
Q9NRE2,TSHZ2
Q9NRG1,PRTFDC1
Q9NRI5,DISC1
Q9NRJ3,CCL28
Q9NRJ4,TULP4
Q9NRL3,STRN4
Q9NRR3,CDC42SE2
Q9NRR8,CDC42SE1
Q9NRW3,APOBEC3C
Q9NRW7,VPS45
Q9NRY4,ARHGAP35
Q9NRY6,PLSCR3
Q9NRZ5,AGPAT4
Q9NS23,RASSF1
Q9NS40,KCNH7
Q9NS75,CYSLTR2
Q9NSC5,HOMER3
Q9NSC7,ST6GALNAC1
Q9NSD5,SLC6A13
